"ID","Size","LastName","FirstName","E.mail.address","ReportDate","Direction","Phone","ReportingSource","District","County_Name","Facility_Type","County","Alignment","Route","Postmile","Species","Gender","Age","Latitude","Longitude","Datum","NearestLandmark","Comments","selected","Posted_On","LastUpdated_On","x_coord","y_coord","StatusOfRoadkill","endangeredSpecies","PostmileR","LON.y","LAT.y"
1,NA,"","",NA,"8/19/1991","",NA,"Woodfords",3,"Alpine(ALP)","","ALP","",88,9.2,"","U","A","",NA,NA,"","","No","","",-119.9862,38.22967,"",FALSE,9.2,-119.954024,38.726615
2,NA,"","",NA,"12/12/1992","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,21.5,"Deer","U","J","",NA,NA,"","","No","","",-119.93802,38.25483,"",FALSE,21.5,-119.796391,38.798013
3,NA,"","",NA,"12/18/1992","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,23.2,"Deer","F","A","",NA,NA,"","","No","","",-119.93318,38.2604,"",FALSE,23.2,-119.77915,38.816968
4,NA,"","",NA,"1/18/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,23.4,"Deer","","","",NA,NA,"","","No","","",-119.93319,38.26128,"",FALSE,23.4,-119.77914,38.819864
5,NA,"","",NA,"1/20/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,23.4,"Elk","","","",NA,NA,"","","No","","",-119.93319,38.26128,"",FALSE,23.4,-119.77914,38.819864
6,NA,"","",NA,"4/14/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,21.7,"Bighorn Sheep","M","U","",NA,NA,"","","No","","",-119.93705,38.25528,"",FALSE,21.7,-119.79311,38.799609
7,NA,"","",NA,"6/24/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,9,"Deer","","","",NA,NA,"","","No","","",-119.9867,38.2284,"",FALSE,9,-119.953905,38.72321
8,NA,"","",NA,"6/25/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,9.5,"Deer","","","",NA,NA,"","","No","","",-119.9861,38.23167,"",FALSE,9.5,-119.954482,38.731688
9,NA,"","",NA,"7/6/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,20.2,"Deer","","","",NA,NA,"","","No","","",-119.94363,38.2512,"",FALSE,20.2,-119.813907,38.786462
10,NA,"","",NA,"7/13/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,10,"Deer","","","",NA,NA,"","","No","","",-119.98619,38.23502,"",FALSE,10,-119.950684,38.739022
11,NA,"","",NA,"7/29/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,20.5,"Deer","","","",NA,NA,"","","No","","",-119.94234,38.25205,"",FALSE,20.5,-119.809933,38.789085
12,NA,"","",NA,"10/16/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",89,16,"Deer","","","",NA,NA,"","","No","","",-119.93653,38.22727,"",FALSE,16,-119.790468,38.707872
13,NA,"","",NA,"11/11/1993","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",89,11.8,"Deer","","","",NA,NA,"","","No","","",-119.92265,38.21861,"",FALSE,11.8,-119.744885,38.679516
14,NA,"","",NA,"3/23/1994","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",89,20.5,"Deer","","","",NA,NA,"","","No","","",-119.94446,38.24537,"",FALSE,20.5,-119.816574,38.767758
15,NA,"","",NA,"3/29/1994","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,23.3,"Deer","","","",NA,NA,"","","No","","",-119.93319,38.26084,"",FALSE,23.3,-119.779142,38.818412
16,NA,"","",NA,"5/3/1994","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,21.5,"Deer","","","",NA,NA,"","","No","","",-119.93802,38.25483,"",FALSE,21.5,-119.796391,38.798013
17,NA,"","",NA,"5/20/1994","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",89,13.5,"Deer","","","",NA,NA,"","","No","","",-119.92959,38.22221,"",FALSE,13.5,-119.767233,38.691091
18,NA,"","",NA,"5/25/1994","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",89,17.5,"Deer","","","",NA,NA,"","","No","","",-119.94012,38.23297,"",FALSE,17.5,-119.802097,38.72687
19,NA,"","",NA,"7/12/1994","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,6,"Deer","","","",NA,NA,"","","No","","",-120.00059,38.22371,"",FALSE,6,-119.985026,38.69761
20,NA,"","",NA,"7/14/1994","",NA,"Woodfords",10,"Alpine(ALP)","","ALP","",88,9,"Deer","","","",NA,NA,"","","No","","",-119.9867,38.2284,"",FALSE,9,-119.953905,38.72321
